symbol,marcap,3month_performance,avgvol_10,avgvol_30,avgvol_60,avgvol_90
"ROPDROPER TECHNOLOGIES, INC.",446.78,47.019B,15.93%,331.536K,418.853K,453.255K,545.94K
"DOCUDDOCUSIGN, INC.",240.97,46.882B,24.96%,4.526M,3.221M,2.967M,3.138M
"DDASHDDOORDASH, INC.",142.5,46.432B,6.81%,3.842M,4.167M,3.303M,3.423M
MARDMARRIOTT INTERNATIONAL,142.48,46.397B,−5.29%,1.791M,1.958M,2.131M,2.436M
"STZDCONSTELLATION BRANDS, INC.",239.08,46.383B,8.36%,865.72K,1.016M,1.066M,1.098M
"NGGDNATIONAL GRID TRANSCO, PLC NATIONAL GRID PLC (NEW) DR",65.28,46.068B,12.98%,385.587K,318.188K,362.257K,360.432K
"BCEDBCE, INC.",50.78,45.936B,11.41%,1.042M,1.21M,1.445M,1.436M
"ALGNDALIGN TECHNOLOGY, INC.",580.27,45.921B,16.97%,519.824K,594.789K,583.978K,630.321K
PLTRDPALANTIR TECHNOLOGIES INC.,24.46,45.905B,8.61%,60.697M,62.813M,60.047M,76.302M
TELDTE CONNECTIVITY LTD. NEW SWITZERLAND REGISTERED SHARES,139.01,45.905B,9.33%,1.479M,1.48M,1.707M,1.761M
"AIGDAMERICAN INTERNATIONAL GROUP, INC. NEW",53.07,45.542B,12.34%,3.686M,4.282M,4.112M,4.347M
SPOTDSPOTIFY TECHNOLOGY S.A.,242.66,45.473B,−6.07%,1.099M,1.793M,1.468M,1.672M
BKDTHE BANK OF NEW YORK MELLON CORPORATION,51.82,45.444B,13.57%,3.321M,4.448M,4.854M,5.333M
"DDDDUPONT DE NEMOURS, INC.",84.97,45.216B,12.99%,2.69M,3.163M,3.016M,6.602M
"ROKUDROKU, INC.",341.06,45.156B,4.24%,2.534M,4.387M,3.939M,4.187M
EDENI S.P.A. DR,25.44,45.106B,4.91%,266.259K,265.628K,289.452K,338.191K
INFODIHS MARKIT LTD.,105.88,44.866B,13.64%,1.907M,2.47M,2.315M,2.413M
EXCDEXELON CORPORATION,45.86,44.813B,12.71%,5.347M,5.927M,5.453M,5.505M
"LHXDL3HARRIS TECHNOLOGIES, INC.",218.55,44.799B,14.40%,1.091M,1.051M,1.053M,1.163M
"IQVDIQVIA HOLDINGS, INC.",233.2,44.695B,24.17%,1.179M,1.054M,988.526K,982.616K
EBAYDEBAY INC.,65.45,44.589B,22.36%,8.763M,9.297M,7.699M,7.905M
VEEVDVEEVA SYSTEMS INC.,291.45,44.533B,20.85%,943.634K,797.805K,822.092K,900.956K
CNQDCANADIAN NATURAL RESOURCES LIMITED,37.52,44.455B,23.18%,2.098M,2.803M,3.082M,3.303M
"TROWDT. ROWE PRICE GROUP, INC.",195.44,44.337B,12.65%,974.568K,1.035M,1.067M,1.122M
BCSDBARCLAYS PLC DR,10.74,44.264B,10.15%,4.764M,7.233M,6.594M,7.687M
KMBDKIMBERLY-CLARK CORPORATION,131.08,44.231B,−1.55%,3.184M,2.712M,2.625M,2.436M
ERICDERICSSON DR,13.1,43.782B,8.53%,5.465M,5.364M,6.12M,6.678M
TTTDTRANE TECHNOLOGIES PLC,182.07,43.542B,11.20%,984.13K,983.622K,977.897K,1.06M
LULUDLULULEMON ATHLETICA INC.,331.61,43.219B,14.77%,1.384M,1.038M,1.27M,1.333M
LVSDLAS VEGAS SANDS CORP.,56.52,43.179B,−10.65%,5.36M,5.518M,5.034M,6.087M
BIIBDBIOGEN INC.,395.85,43.08B,46.61%,3.104M,1.628M,1.368M,1.374M
"AEPDAMERICAN ELECTRIC POWER COMPANY, INC.",85.67,42.814B,6.44%,2.371M,2.746M,2.884M,2.906M
"PPGDPPG INDUSTRIES, INC.",179.98,42.672B,23.19%,1.124M,1.111M,1.384M,1.399M
"PRUDPRUDENTIAL FINANCIAL, INC.",108.07,42.58B,16.56%,1.899M,2.005M,2.213M,2.368M
APTVDAPTIV PLC,157.25,42.53B,8.75%,1.416M,1.352M,1.443M,1.64M
"ROSTDROSS STORES, INC.",119.22,42.515B,−0.96%,2.428M,2.12M,2.025M,2.12M
"KMIDKINDER MORGAN, INC.",18.77,42.506B,15.72%,15.57M,16.043M,15.23M,16.142M
BBVADBANCO BILBAO VIZCAYA ARGENTARIA S.A. DR,6.44,42.221B,12.39%,1.906M,2.811M,2.463M,2.568M
MCHPDMICROCHIP TECHNOLOGY INCORPORATED,153.57,42.006B,12.30%,1.458M,1.775M,1.807M,2.031M
"ADAGILENT TECHNOLOGIES, INC.",137.65,41.942B,18.58%,1.731M,1.45M,1.497M,1.609M
EADELECTRONIC ARTS INC.,145.72,41.704B,14.55%,1.756M,2.224M,2.234M,2.494M
"PINSDPINTEREST, INC.",65.43,41.67B,4.70%,7.981M,13.85M,12.606M,13.537M
PXDDPIONEER NATURAL RESOURCES COMPANY,170.71,41.645B,5.32%,2.315M,2.425M,2.327M,2.488M
GOLDDBARRICK GOLD CORPORATION,23.41,41.632B,20.05%,15.763M,17.022M,16.819M,18.265M
CNCDCENTENE CORPORATION,71.28,41.537B,15.49%,3.87M,5.237M,4.11M,3.946M
MPCDMARATHON PETROLEUM CORPORATION,63.34,41.339B,10.81%,8.265M,8.467M,7.017M,6.777M
SREDSEMPRA ENERGY,136.1,41.206B,10.73%,2.211M,1.655M,1.568M,1.537M
CRHDCRH PLC DR,53.09,40.961B,13.01%,381.149K,476.64K,521.898K,535.718K
BAXDBAXTER INTERNATIONAL INC.,81.26,40.862B,3.81%,2.857M,2.533M,2.519M,2.679M
SYYDSYSCO CORPORATION,79.83,40.84B,−2.29%,2.438M,2.299M,2.118M,2.225M
APHDAMPHENOL CORPORATION,68.19,40.751B,11.17%,1.919M,2.52M,2.651M,2.806M
BILIDBILIBILI INC. DR,104.63,40.504B,6.13%,4.481M,4.389M,4.834M,5.92M
PSXDPHILLIPS 66,92.41,40.463B,4.45%,2.744M,2.636M,2.648M,2.705M
WITDWIPRO LIMITED DR,8.19,40.459B,31.46%,1.48M,1.545M,1.639M,1.784M
MFCDMANULIFE FINANCIAL CORPORATION,20.81,40.413B,−2.98%,2.529M,3.635M,3.19M,3.588M
ALLDALLSTATE CORPORATION (THE),134.49,40.258B,18.72%,2.103M,2.077M,2.094M,2.094M
CCARRDCARRIER GLOBAL CORPORATION,46.06,40.026B,24.28%,5.82M,6.128M,6.383M,6.181M
"TRVDTHE TRAVELERS COMPANIES, INC.",157.76,39.677B,1.29%,1.118M,1.141M,1.329M,1.328M
PHDPARKER-HANNIFIN CORPORATION,307.38,39.669B,2.87%,640.631K,812.447K,772.41K,887.569K
"MFGDMIZUHO FINANCIAL GROUP, INC. SPONOSRED DR",3.14,39.564B,6.08%,423.202K,386.621K,356.342K,379.304K
"MRVLDMARVELL TECHNOLOGY, INC.",48.27,39.547B,20.49%,6.92M,8.239M,9.307M,10.383M
"RRKTDROCKET COMPANIES, INC.",19.9,39.509B,−19.47%,14.416M,11.271M,11.125M,19.285M
AFLDAFLAC INCORPORATED,57.39,39.006B,13.02%,3.178M,3.096M,3.195M,3.475M
"ALXNDALEXION PHARMACEUTICALS, INC.",176.28,38.961B,17.47%,1.974M,2.055M,2.178M,2.366M
"GISDGENERAL MILLS, INC.",63.72,38.867B,10.32%,3.379M,3.57M,4.336M,4.297M
"MTCHDMATCH GROUP, INC.",143.48,38.779B,−1.43%,2.104M,2.254M,2.055M,2.459M
"SNPSDSYNOPSYS, INC.",252.59,38.534B,15.61%,833.367K,925.17K,917.125K,966.586K
ADMDARCHER-DANIELS-MIDLAND COMPANY,68.66,38.36B,18.87%,2.51M,2.891M,2.593M,2.655M
"PPATHDUIPATH, INC.",73.88,38.355B,—,1.776M,2.157M,—,—
SUDSUNCOR ENERGY INC.,25.42,38.295B,15.49%,7.35M,6.787M,6.743M,8.153M
MSCIDMSCI INC,464.37,38.275B,15.33%,304.443K,318.28K,338.971K,414.415K
HPQDHP INC.,30.55,38.265B,1.29%,14.555M,10.186M,10.254M,10.278M
CMIDCUMMINS INC.,259.22,37.899B,−3.57%,1.013M,972.697K,1.011M,1.028M
XELDXCEL ENERGY INC.,70.12,37.739B,13.17%,2.604M,2.627M,3.105M,3.073M
DFSDDISCOVER FINANCIAL SERVICES,123.59,37.681B,26.22%,1.854M,1.919M,2.211M,2.287M
LYBDLYONDELLBASELL INDUSTRIES NV,112.66,37.668B,3.59%,1.693M,1.495M,1.52M,1.601M
CTSHDCOGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,71.3,37.604B,−1.91%,4.912M,4.736M,3.903M,3.707M
BF.BDBROWN FORMAN INC,79.96,37.43B,14.47%,932.136K,816.769K,954.566K,896.102K
"DXCMDDEXCOM, INC.",386.98,37.423B,9.92%,774.871K,874.895K,783.482K,800.505K
"CMGDCHIPOTLE MEXICAN GRILL, INC.",1323.26,37.25B,−0.88%,283.112K,263.932K,271.334K,287.477K
BF.ADBROWN FORMAN INC,74.27,37.088B,13.58%,42.217K,31.908K,36.471K,35.547K
NTRDNUTRIEN LTD.,64.5,36.778B,16.32%,2.794M,2.285M,2.101M,2.093M
"PAYXDPAYCHEX, INC.",101.75,36.667B,9.17%,1.221M,1.483M,1.766M,1.796M
"ORLYDO'REILLY AUTOMOTIVE, INC.",525.44,36.656B,11.11%,453.462K,490.488K,496.254K,560.848K
"FTNTDFORTINET, INC.",223.54,36.508B,34.49%,803.033K,1.039M,1.082M,1.197M
CTASDCINTAS CORPORATION,346.8,36.432B,1.82%,380.829K,382.5K,382.115K,408.496K
TDGDTRANSDIGM GROUP INC.,662.55,36.369B,9.28%,412.448K,306.191K,273.46K,281.73K
GLWDCORNING INCORPORATED,42.6,36.268B,13.27%,4.673M,4.36M,4.629M,4.633M
HSYDTHE HERSHEY COMPANY,173.99,36.015B,14.63%,772.984K,996.898K,954.335K,1.004M
"IFFDINTERNATIONA FLAVORS & FRAGRANCES, INC.",143.18,35.64B,9.11%,1.443M,1.341M,1.61M,3.453M
"YUMDYUM! BRANDS, INC.",118.32,35.248B,13.62%,1.647M,1.583M,1.544M,1.661M
"MSIDMOTOROLA SOLUTIONS, INC.",207.69,35.238B,15.89%,706.82K,707.887K,699.894K,716.129K
AALCDALCON INC.,69.88,34.919B,4.19%,794.448K,927.554K,796.256K,907.499K
HLTDHILTON WORLDWIDE HOLDINGS INC.,124.9,34.789B,−0.41%,1.554M,1.759M,1.921M,2.305M
"CDNSDCADENCE DESIGN SYSTEMS, INC.",124.93,34.764B,4.39%,1.391M,1.755M,1.694M,1.8M
"PANWDPALO ALTO NETWORKS, INC.",356.37,34.707B,7.51%,954.912K,992.281K,1.022M,1.118M
"RSGDREPUBLIC SERVICES, INC.",108.56,34.634B,13.51%,1.181M,1.15M,1.127M,1.263M
LUVDSOUTHWEST AIRLINES COMPANY,58.28,34.465B,−3.75%,5.391M,5.566M,6.154M,7.15M
"WMBDWILLIAMS COMPANIES, INC. (THE)",28.23,34.293B,17.04%,7.504M,7.939M,7.848M,8.217M
FRCDFIRST REPUBLIC BANK,194.48,34.226B,12.59%,460.036K,516.772K,661.221K,786.787K
CCLDCARNIVAL CORPORATION,30.89,34.224B,15.74%,28.63M,26.646M,31.073M,37.474M
WDWAYFAIR INC.,327.95,34.172B,6.98%,1.337M,1.613M,1.451M,1.674M
OOTISDOTIS WORLDWIDE CORPORATION,79.61,34.164B,22.06%,1.985M,3.048M,2.728M,2.824M
MTDARCELOR MITTAL NY REGISTRY SHARES NEW,32.67,34.139B,32.48%,3.771M,5.431M,5.77M,5.571M
NNWGDNATWEST GROUP PLC DR,6.01,34.013B,13.40%,1.417M,1.56M,1.528M,1.624M
ORANDORANGE DR,12.92,34.002B,9.12%,451.707K,474.871K,548.672K,635.597K
"CCTVADCORTEVA, INC.",45.93,33.855B,2.29%,3.094M,3.438M,3.286M,3.288M
CUKDCARNIVAL PLC DR,26.5,33.836B,14.52%,1.46M,1.358M,1.513M,1.748M
VLODVALERO ENERGY CORPORATION,82.69,33.8B,2.64%,3.136M,3.513M,3.657M,3.881M
"SWKDSTANLEY BLACK & DECKER, INC.",209.15,33.777B,12.08%,939.218K,1.153M,1.162M,1.217M
STMDSTMICROELECTRONICS N.V.,36.81,33.294B,10.54%,1.473M,1.998M,2.017M,2.343M
BSBRDBANCO SANTANDER BRASIL SA DR,9.11,33.285B,35.57%,1.038M,1.088M,1.094M,1.335M
"DHIDD.R. HORTON, INC.",92.33,33.283B,14.68%,2.871M,3.37M,3.191M,3.178M
WLTWDWILLIS TOWERS WATSON PUBLIC LIMITED COMPANY,256.99,33.146B,14.10%,1.089M,1.051M,995.408K,983.977K
"CCHWYDCHEWY, INC.",78.56,33.117B,2.92%,3.053M,3.154M,3.756M,3.46M
"ZBHDZIMMER BIOMET HOLDINGS, INC.",157.9,32.919B,0.89%,1.469M,1.16M,1.066M,1.201M
"PTONDPELOTON INTERACTIVE, INC.",109.79,32.75B,8.33%,11.004M,19.132M,13.792M,12.104M
SIVBDSVB FINANCIAL GROUP,602.38,32.718B,17.85%,278.394K,345.477K,497.925K,471.077K
"CSGPDCOSTAR GROUP, INC.",827.94,32.698B,4.50%,204.892K,210.05K,222.838K,298.593K
PCARDPACCAR INC.,93.37,32.414B,−0.07%,1.281M,1.826M,1.742M,1.812M
NUEDNUCOR CORPORATION,107.37,32.13B,61.77%,3.855M,4.436M,3.93M,3.576M
"BGNEDBEIGENE, LTD. DR",344.27,32.122B,16.82%,137.01K,169.501K,202.645K,238.355K
"CHTDCHUNGHWA TELECOM CO., LTD. DR",41.37,31.914B,5.16%,87.688K,77.498K,94.21K,97.253K
"ROKDROCKWELL AUTOMATION, INC.",274.73,31.89B,6.54%,699.189K,648.865K,636.196K,657.973K
"WCNDWASTE CONNECTIONS, INC.",120.75,31.598B,18.14%,624.13K,871.417K,939.351K,1.025M
"AMEDAMETEK, INC.",136.68,31.562B,10.69%,890.788K,999.481K,991.514K,1.031M
KKRDKKR & CO. INC.,54.13,31.492B,14.97%,2.49M,2.473M,2.417M,2.751M
SLFDSUN LIFE FINANCIAL INC.,53.8,31.491B,6.41%,614.737K,594.447K,523.635K,564.92K
TUDTELUS CORPORATION,23.23,31.477B,9.68%,1.176M,1.091M,1.367M,1.464M
"XLNXDXILINX, INC.",127.73,31.401B,13.95%,1.519M,2.089M,2.355M,2.382M
DBDDEUTSCHE BANK AG,15.08,31.147B,14.68%,3.671M,4.257M,3.886M,3.867M
VFCDV.F. CORPORATION,79.27,31.086B,−2.74%,2.618M,2.848M,2.79M,2.574M
NOKDNOKIA CORPORATION SPONSORED DR,5.61,30.941B,44.96%,54.538M,51.371M,41.931M,62.247M
LLUDLUFAX HOLDING LTD DR,12.62,30.853B,−15.07%,6.162M,6.585M,4.791M,4.584M
MCKDMCKESSON CORPORATION,195.03,30.851B,10.76%,1.118M,1.206M,1.039M,1.061M
PEGDPUBLIC SERVICE ENTERPRISE GROUP INCORPORATED,60.87,30.745B,6.60%,2.089M,2.12M,2.048M,2.05M
"AMPDAMERIPRISE FINANCIAL, INC.",264.86,30.699B,18.20%,678.621K,637.034K,680.801K,700.52K
IIAUDISHARES GOLD TRUST SHARES OF THE ISHARES GOLD TRUST ETF,36.19,30.528B,12.95%,11.568M,10.781M,11.032M,11.392M
LBRDADLIBERTY BROADBAND CORPORATION,157.43,30.377B,7.79%,96.382K,76.836K,92.258K,93.344K
LBRDKDLIBERTY BROADBAND CORPORATION,160.85,30.345B,7.17%,1.02M,909.333K,943.661K,1.037M
FASTDFASTENAL COMPANY,52.78,30.314B,18.18%,2.198M,2.704M,3.263M,3.231M
"MGADMAGNA INTERNATIONAL, INC.",99.92,30.127B,12.78%,1.249M,1.412M,1.43M,1.519M
MPLXDMPLX LP,29.24,30.103B,12.46%,2.044M,2.308M,2.275M,2.395M
RMDDRESMED INC.,206.7,30.079B,15.18%,597.991K,630.988K,604.835K,673.884K
STTDSTATE STREET CORPORATION,86.41,30.051B,7.34%,1.676M,1.947M,2.285M,2.652M
FFERGDFERGUSON PLC,139.78,30.029B,16.98%,20.913K,26.561K,26.077K,18.994K
"AZODAUTOZONE, INC.",1384.65,29.936B,11.57%,232.497K,200.687K,209.821K,226.041K
FITBDFIFTH THIRD BANCORP,41.99,29.56B,11.26%,4.061M,4.712M,5.649M,5.827M
"WECDWEC ENERGY GROUP, INC.",93.56,29.512B,8.37%,1.318M,1.249M,1.272M,1.328M
KRDKROGER COMPANY (THE),38.97,29.504B,12.18%,7.798M,7.965M,8.641M,9.239M
ETDENERGY TRANSFER LP,10.91,29.495B,34.69%,14.329M,19.938M,18.516M,20.479M
"ODFLDOLD DOMINION FREIGHT LINE, INC.",254.29,29.489B,16.30%,927.269K,678.253K,694.116K,692.076K
"DALDDELTA AIR LINES, INC.",46.08,29.475B,−3.76%,9.634M,10.344M,11.862M,12.594M
CBREDCBRE GROUP INC,87.74,29.451B,14.41%,1.629M,1.579M,1.589M,1.727M
"CPRTDCOPART, INC.",124.34,29.416B,19.57%,993.072K,943.68K,1.051M,1.119M
AJGDARTHUR J. GALLAGHER & CO.,143.54,29.409B,14.53%,1.329M,1.369M,1.098M,1.027M
SYFDSYNCHRONY FINANCIAL,50.45,29.342B,24.14%,5.642M,6.077M,6.276M,6.403M
"BBYDBEST BUY CO., INC.",117.1,29.322B,9.88%,3.106M,2.303M,2.42M,2.561M
LENDLENNAR CORPORATION,95.76,29.249B,8.67%,2.126M,2.172M,2.386M,2.518M
LEN.BDLENNAR CORPORATION,75.24,29.133B,7.00%,69.873K,67.013K,64.058K,65.577K
"MTDDMETTLER-TOLEDO INTERNATIONAL, INC.",1248.77,29.058B,20.25%,107.001K,102.115K,102.83K,115.381K
FNVDFRANCO-NEVADA CORPORATION,151.56,28.952B,39.15%,408.834K,470.613K,571.656K,669.139K
"YUMCDYUM CHINA HOLDINGS, INC.",68.8,28.937B,12.84%,2.394M,2.234M,1.984M,2.128M
"OKTADOKTA, INC.",216.44,28.696B,3.80%,2.943M,2.077M,1.994M,1.911M
"ANSSDANSYS, INC.",328.57,28.635B,11.93%,400.762K,425.714K,445.76K,473.134K
"AWKDAMERICAN WATER WORKS COMPANY, INC.",157.47,28.576B,17.63%,584.34K,776.975K,883.477K,986.111K
"TTDDTHE TRADE DESK, INC.",599.85,28.569B,−11.65%,746.256K,1.217M,948.258K,963.603K
XPEVDXPENG INC. DR,38.36,28.515B,42.50%,16.322M,14.6M,15.192M,17.255M
RRPRXDROYALTY PHARMA PLC,46.46,28.206B,3.59%,2.336M,1.763M,2.457M,2.389M
ESDEVERSOURCE ENERGY (D/B/A),82.11,28.202B,1.85%,1.563M,1.632M,1.513M,1.497M
AAPPDAPPLOVIN CORPORATION,77.25,28.171B,—,742.19K,842.947K,—,—
CCEPDCOCA-COLA EUROPACIFIC PARTNERS PLC,61.85,28.13B,16.52%,1.16M,1.03M,942.604K,939.612K
"TSNDTYSON FOODS, INC.",78.33,28.025B,6.30%,1.668M,1.977M,1.896M,2.075M
"SWKSDSKYWORKS SOLUTIONS, INC.",169.72,28.02B,5.29%,1.439M,2.152M,1.922M,2.282M
"ZZGDZILLOW GROUP, INC.",114.4,28.014B,−12.03%,415.532K,528.294K,555.884K,712.774K
"ZDZILLOW GROUP, INC.",112.57,27.984B,−9.70%,2.876M,3.229M,3.156M,3.639M
SSGENDSEAGEN INC.,154.01,27.949B,3.58%,809.823K,932.049K,948.358K,1.089M
"DDDOGDDATADOG, INC.",90.62,27.946B,16.90%,2.193M,3.237M,3.333M,3.551M
"IBKRDINTERACTIVE BROKERS GROUP, INC.",66.88,27.874B,−11.84%,1.52M,1.005M,942.096K,946.591K
"EFXDEQUIFAX, INC.",228.72,27.836B,32.10%,722.777K,736.009K,722.136K,798.714K
CSDCREDIT SUISSE GROUP DR,11.11,27.807B,−19.49%,8.417M,7.715M,8.477M,6.582M
"NDAQDNASDAQ, INC.",168.9,27.715B,16.49%,606.691K,655.612K,755.394K,774.5K
"AMCDAMC ENTERTAINMENT HOLDINGS, INC.",55,27.598B,492.03%,463.082M,207.437M,139.594M,158.1M
GRMNDGARMIN LTD.,143.27,27.529B,16.94%,805.067K,691.487K,678.697K,734.156K
"EPAMDEPAM SYSTEMS, INC.",487.67,27.507B,43.80%,382.357K,374.269K,324.904K,314.189K
HESDHESS CORPORATION,89.05,27.465B,20.70%,1.705M,2.022M,2.101M,2.208M
UUDUNITY SOFTWARE INC.,98.1,27.411B,5.77%,3.312M,3.613M,3.52M,4.439M
KEYSDKEYSIGHT TECHNOLOGIES INC.,148.15,27.293B,12.04%,868.189K,884.613K,927.969K,1.086M
"MXIMDMAXIM INTEGRATED PRODUCTS, INC.",101.5,27.239B,19.37%,2.255M,2.783M,2.586M,2.425M
OXYDOCCIDENTAL PETROLEUM CORPORATION,29.16,27.218B,−2.05%,17.262M,17.644M,17.509M,18.568M
VVIACADVIACOMCBS INC.,45.98,27.218B,−45.05%,93.645K,109.535K,277.96K,236.307K
"VRSKDVERISK ANALYTICS, INC.",167.8,27.199B,−2.24%,744.176K,877.449K,917.704K,1.07M
VVIACDVIACOMCBS INC.,41.74,27.144B,−50.11%,16.09M,22.936M,44.018M,35.095M
ZBRADZEBRA TECHNOLOGIES CORPORATION,506.18,27.086B,9.89%,298.564K,299.058K,305.12K,347.566K
BKRDBAKER HUGHES COMPANY,25.94,27.019B,6.62%,8.907M,10.007M,9.481M,8.729M
SIRIDSIRIUS XM HOLDINGS INC.,6.6,26.999B,11.68%,25.584M,22.107M,21.186M,23.502M
"ANETDARISTA NETWORKS, INC.",352.51,26.904B,31.62%,375.646K,417.264K,426.741K,489.983K
KSUDKANSAS CITY SOUTHERN,295.6,26.88B,40.38%,1.069M,1.339M,1.681M,1.343M
ECDECOPETROL S.A. DR,13.34,26.861B,2.38%,1.024M,1.078M,1.054M,1.148M
BLLDBALL CORPORATION,81.36,26.707B,−1.49%,2.452M,1.775M,2.022M,1.95M
"RCIDROGERS COMMUNICATION, INC.",52.73,26.706B,10.75%,504.96K,330.436K,460.543K,499.269K
"NETDCLOUDFLARE, INC.",85.84,26.664B,38.97%,2.944M,4.124M,3.927M,4.36M
HRLDHORMEL FOODS CORPORATION,49.18,26.659B,2.67%,2.245M,2.336M,2.089M,2.366M
GGMABDGENMAB A/S DR,41.35,26.617B,32.36%,367.918K,390.821K,455.607K,527.931K
DTEDDTE ENERGY COMPANY,137.85,26.607B,10.51%,920.676K,920.234K,895.436K,922.177K
ZTODZTO EXPRESS (CAYMAN) INC. DR,31.8,26.588B,−0.47%,3.02M,3.008M,3.738M,3.51M
"EDDCONSOLIDATED EDISON, INC.",77.31,26.503B,11.24%,1.848M,2.017M,2.195M,2.422M
FWONKDLIBERTY MEDIA CORPORATION - SERIES C LIBERTY FORMULA ONE,44.32,26.447B,−2.81%,743.323K,753.508K,822.282K,913.396K
FWONADLIBERTY MEDIA CORPORATION - SERIES A LIBERTY FORMULA ONE,39.99,26.347B,−1.26%,104.772K,91.617K,106.275K,124.42K
ZSDZSCALER INC,192.73,26.2B,14.83%,2.783M,2.138M,1.934M,1.997M
TMEDTENCENT MUSIC ENTERTAINMENT GROUP DR,15.22,26.083B,−39.89%,15.969M,17.997M,37.616M,30.043M
"WORKDSLACK TECHNOLOGIES, INC.",44.33,26.008B,10.74%,4.893M,4.313M,4.621M,5.541M
LHDLABORATORY CORPORATION OF AMERICA HOLDINGS,264.06,25.783B,9.76%,816.765K,698.292K,634.394K,705.575K
IMODIMPERIAL OIL LIMITED,34.26,25.149B,41.80%,583.647K,837.142K,749.868K,698.067K
"EXPEDEXPEDIA GROUP, INC.",170.35,25.036B,1.46%,1.888M,2.399M,2.631M,3.032M
IPDINTERNATIONAL PAPER COMPANY,63.73,24.966B,14.42%,3.23M,2.844M,2.828M,3.081M
TTCOMDTRIP.COM GROUP LIMITED DR,37.68,24.95B,−3.80%,4.012M,3.945M,4.573M,4.845M
TEFDTELEFONICA SA DR,4.82,24.837B,3.66%,1.932M,1.722M,1.573M,1.631M
NTRSDNORTHERN TRUST CORPORATION,118.93,24.754B,17.05%,792.452K,753.389K,948.555K,929.965K
"VRSNDVERISIGN, INC.",218.93,24.656B,15.93%,477.614K,511.535K,573.088K,604.523K
"CAJDCANON, INC. DR",23.75,24.646B,9.35%,307.727K,260.989K,236.616K,250.218K
FTVDFORTIVE CORPORATION,72.74,24.624B,5.67%,2.448M,2.319M,2.25M,2.332M
"WSTDWEST PHARMACEUTICAL SERVICES, INC.",333.32,24.607B,27.54%,437.396K,428.286K,405.081K,445.956K
"OKEDONEOK, INC.",55.17,24.58B,11.36%,2.848M,2.792M,2.836M,2.881M
CNHIDCNH INDUSTRIAL N.V.,18.07,24.465B,15.02%,2.969M,3.175M,2.803M,2.835M
ABCDAMERISOURCEBERGEN CORPORATION,118.26,24.292B,10.00%,1.087M,1.237M,1.087M,1.105M
"TLKDPT TELEKOMUNIKASI INDONESIA, TBK DR",25.01,24.254B,8.64%,519.329K,442.957K,321.771K,279.045K
FMSDFRESENIUS MEDICAL CARE AG DR,41.13,24.099B,18.53%,156.37K,215.062K,250.338K,371.283K
RCLDD/B/A ROYAL CARIBBEAN CRUISES LTD.,94.48,24.052B,7.47%,4.301M,3.797M,3.928M,4.819M
YNDXDYANDEX N.V.,67.48,24.023B,11.89%,1.21M,1.419M,1.775M,1.856M
CERNDCERNER CORPORATION,79.53,23.964B,13.34%,3.225M,2.924M,2.691M,2.724M
"GWWDW.W. GRAINGER, INC.",459.81,23.961B,15.39%,194.889K,249.714K,264.358K,290.63K
"EEDRDENDEAVOR GROUP HOLDINGS, INC.",27.9,23.933B,—,1.034M,—,—,—
"MKC.VDMCCORMICK & COMPANY, INCORPORATED",89.1,23.93B,5.84%,866,1.479K,2.021K,1.994K
"MKCDMCCORMICK & COMPANY, INCORPORATED",89.49,23.887B,6.35%,1.323M,1.18M,1.313M,1.335M
UMCDUNITED MICROELECTRONICS CORPORATION (NEW) DR,9.58,23.759B,19.30%,6.177M,6.829M,6.274M,6.833M
DISHDDISH NETWORK CORPORATION,45.03,23.746B,29.29%,2.703M,3.294M,3.51M,4.071M
PKXDPOSCO DR,76.37,23.626B,8.71%,205.033K,200.554K,186.428K,192.67K
VMCDVULCAN MATERIALS COMPANY (HOLDING COMPANY),177.96,23.609B,5.24%,895.607K,765.6K,751.925K,761.765K
"TDOCDTELADOC HEALTH, INC.",151.95,23.48B,−13.98%,2.665M,3.758M,3.336M,3.487M
"APODAPOLLO GLOBAL MANAGEMENT, INC.",57.74,23.451B,21.66%,2.042M,2.203M,2.534M,2.33M
WDCDWESTERN DIGITAL CORPORATION,76.13,23.33B,10.56%,3.149M,4.996M,4.47M,4.83M
"HUBSDHUBSPOT, INC.",498.59,23.297B,18.20%,412.355K,505.293K,508.596K,540.6K
"HIGDHARTFORD FINANCIAL SERVICES GROUP, INC. (THE)",65.17,23.278B,18.95%,2.07M,2.787M,3.637M,3.129M
CCVACDCUREVAC N.V.,125,23.277B,56.66%,649.331K,1.125M,1.013M,1.035M
"DLTRDDOLLAR TREE, INC.",100.35,23.277B,−7.14%,3.707M,2.177M,1.869M,1.95M
BIPDBROOKFIELD INFRASTRUCTURE PARTNERS LP LIMITED PARTNERSHIP,55.75,23.27B,7.92%,201.094K,231.347K,231.766K,282.443K
CDWDCDW CORPORATION,165.76,23.24B,6.85%,796.983K,836.061K,819.672K,832.876K
LIDLI AUTO INC. DR,26.68,23.195B,25.08%,22.846M,14.187M,13.494M,15.273M
XXPDXP INC.,41.42,23.156B,10.34%,1.58M,1.717M,1.349M,1.344M
"CZRDCAESARS ENTERTAINMENT, INC.",110.6,23.082B,16.34%,3.881M,3.526M,4.005M,3.422M
"RNGDRINGCENTRAL, INC.",253.15,23.005B,−19.73%,1.12M,1.334M,1.109M,1.073M
